coach,coach_id
Tom Catlin,316
Ray Prochaska,317
Dennis Allen,318
Ed Donatell,319
Robert Prince,320
Alex Gibbs,321
Herb Paterra,322
Bob Leahy,323
Jim Valek,324
Jay Harbaugh,325
Gary Kubiak,326
Vince Tobin,327
Steve Kazor,328
Forrest Gregg,329
Darrin Simmons,330
Alvin Reynolds,331
Geep Chryst,332
Danny Crossman,333
Sam Mills III,334
Mike Trgovac,335
John Marshall,336
Greg Roman,337
Richard Williamson,338
Vic Fangio,339
John Shoop,340
Mike Pope,341
Scott O'Brien,342
Martin Bayless,343
Tommy Kaiser,344
Jerry Gray,345
Sam Mills,346
Gil Haskell,347
Tom Clements,348
Sal Sunseri,349
Jack Del Rio,350
Danny Smith,351
Stan Drayton,352
Jim Johnson,353
George Hill,354
Billie Matthews,355
Tom Lovat,356
Rod Dowhower,357
Jay Robertson,358
Tom Rossley,359
Mike Sherman,360
Shawn Slocum,361
Scott McCurley,362
John Rushing,363
Joe Philbin,364
Mike Stock,365
Eric Lewis,366
Jeff Jagodzinski,367
George Catavolos,368
Rusty Tillman,369
Brad Miller,370
Darrell Bevell,371
James Campen,372
Charlie Jackson,373
Jim Bates,374
Trent Miles,375
John Becker,376
Ron Meyer,377
Bill Muir,378
Greg Briner,379
Larry Kennan,380
Ron Blackledge,381
Frank Kush,382
Chuck Weber,383
Mike McCormack,384
Ray Rychleski,385
Bill Teerlinck,386
Mike Murphy,387
Clyde Christensen,388
"Frank Cignetti, Jr.",389
Jim Caldwell,390
Diron Reynolds,391
Ron Meeks,392
Ricky Thomas,393
Rod Dowhower / Ron Meyer,394
Joel Hilgenberg,395
Dan Daniel,396
Mark Hatley,397
John Paul Young,398
Homer Smith,399
Leon Burtnett,400
Ron Meyer / Rick Venturi,401
J. D. Helm,402
Don Clemons,403
Wayne Fontes,404
Bob Baker,405
Darryl Rogers,406
Bert Hill,407
Dave Jaumotte,408
Don Doll,409
Joe Baker,410
Rick Dennison,411
Steve Watson,412
Red Miller,413
Jim Ryan,414
Mike Heimerdinger,415
Dennis Murphy,416
Sylvester Croom,417
Stan Kwan,418
John Teerlinck,419
Jim Eddy,420
Rick Smith,421
Pat McPherson,422
Harold Richardson,423
David Lee,424
Todd Haley,425
Charlie Waters,426
Ricky Porter,427
Ryan Slowik,428
Larry Coyer,429
Jeremy Bates,430
Troy Calhoun,431
Dick Modzelewski,432
Johnny Holland,433
Chuck Priefer,434
Dick Jauron,435
Sherman Lewis,436
Kevin Lartigue,437
Bob Schnelker,438
Todd Downing,439
Richard Smith,440
Dave Hanner,441
John Meyer,442
Bart Starr,443
Chuck Knox Jr.,444
Emmitt Thomas,445
Ken Zampese,446
Ray Rhodes,447
Joe Clark,448
Mouse Davis,449
Scott Linehan,450
Jim Schwartz,451
Mike McHugh,452
Chris Beake,453
George Stewart,454
Leeman Bennett,455
Brian Schneider,456
Tom Donatell,457
Andre Curtis,458
Ken Norton Jr.,459
Austin Davis,460
Andy Dickerson,461
Shane Waldron,462
Clint Hurtt,463
Howard Tippett,464
Mark Cotney,465
Jim Stanley,466
Rocky Seto,467
Tom Cable,468
Bruce DeHaven,469
John Glenn,470
Kris Richard,471
Will Harriger,472
Dave Canales,473
Quinshon Odom,474
Nick Perry,475
Karl Scott,476
Aden Durde,477
Zak Hill,478
Jake Peetz,479
Ryan Grubb,480
Mike Macdonald,481
Larry Izzo,482
Robert Saleh,483
Nate Carroll,484
Gus Bradley,485
Keith Carter,486
Jerry Colquitt,487
Pete Rodriguez,488
Steve Moore,489
Mark Michaels,490
Zerick Rollins,491
Tom Headlee,492
Bob Casullo,493
Keith Gilbertson,494
Gary Reynolds,495
Luke Butkus,496
Dan Quinn,497
Craig Johnson,498
Norm Chow,499
Steve Watterson,500
Chuck Cecil,501
Ronnie Vinklarek,502
Dave McGinnis,503
Kevin O'Dea,504
Herman Edwards,505
Wendell Avery,506
Ed Biles,507
Phil Krueger,508
John McKay,509
Bob Bowser,510
Doug Shively,511
Marquand Manuel,512
Rodney Stokes,513
Bill Clay,514
Doug Graber,515
John Bobo,516
Jeff FitzGerald,517
Floyd Peters,518
Richard Wood,519
Tom Schertz,520
Hank Kuhlmann,521
Alan Williams,522
Brian Pariani,523
Jack Patera,524
Jim Harbaugh,525
Ejiro Evero,526
Brad Seely,527
Bobby Engram,528
Jaime Hill,529
Larry Mac Duff,530
Jamie Christian,531
Dick Tomey,532
Jason Tarver,533
Jerry Olsavsky,534
Gregg Smith,535
Greg McMackin,536
Dennis Erickson,537
Joe Barry,538
Dave Brown,539
Jim Zorn,540
Eric Yarber,541
Paul Moyer,542
Arnie Matsumoto,543
Clayton Lopez,544
Fritz Shurmur,545
Anthony Lynn,546
Kyle Shanahan,547
Nick Sorensen,548
DeMeco Ryans,549
Deuce Schwartz,550
Chris Foerster,551
Klint Kubiak,552
Jacob Webster,553
Steve Wilks,554
Marvin Bass,555
Kirk Ferentz,556
Ed West,557
Tom Caitlin,558
Chad Grimm,559
Thom Kaumeyer,560
Doc Urich,561
Leon McLaughlin,562
Gene Stallings,563
Ronnie Jones,564
George Martinez,565
Dick Jamieson,566
Larry Marmie,567
Mike Devlin,568
Jerry Sullivan,569
Keith Burns,570
Richmond Flowers III,571
Aubrey Pleasant,572
Bobby Turner,573
Kirk Olivadotti,574
Sean McVay,575
Keith Rowen,576
Dennis Green,577
Bill Khayat,578
Clancy Pendergast,579
Rick Courtright,580
Rich Olson,581
Norv Turner,582
Bart Andrus,583
DeChon Burns,584
Steve Spurrier,585
Arthur Smith,586
Charles London,587
Dowell Loggains,588
Mike Munchak,589
Mike McDaniel,590
Ben Kotwica,591
Chris Garber,592
Steve Jackson,593
Greg Blache,594
Chris Meidt,595
Sherman Smith,596
Stump Mitchell,597
Rayna Stewart,598
Richie Wessman,599
Jay Gruden,600
Milt Jackson,601
June Jones,602
Jerry Glanville,603
Will Lewis,604
Ray Horton,605
Claude Humphrey,606
Jim Hanifan,607
Tim Marcum,608
Dan Sekanovich,609
Bill Lazor,610
Pete Mangurian,611
Brian Xanders,612
Gary Zauner,613
Frank Bush,614
Carl Hargrave,615
Alex Wood,616
Joe Madden,617
Doug Pederson,618
Rich Scangarello,619
Jeff Stoutland,620
T. J. Paganetti,621
Press Taylor,622
Duce Staley,623
Matt Burke,624
Dave Fipp,625
Phillip Daniels,626
Mike Groh,627
Michael Clay,628
Joe Kasper,629
Jonathan Gannon,630
Mike DiAngelo,631
Matt Patricia,632
Sean Desai,633
Eric Dickerson,634
Marcus Brady,635
Brian Johnson,636
Jemal Singleton,637
Kevin Patullo,638
Nick Sirianni,639
Ryan Paganetti,640
Shane Steichen,641
Corey Matthaei,642
Rory Segrest,643
Mike Caldwell,644
James Urban,645
Mark Whipple,646
Andy Reid,647
Brian Stewart,648
Sean McDermott,649
Bill Shuey,650
Mike Reed,651
Brad Childress,652
Jerry Azzinaro,653
Pat Shurmur,654
Chip Kelly,655
Stephen Thomas,656
Frank Reich,657
Mike Dawson,658
Bobby April,659
Bobby April III,660
Juan Castillo,661
Matt Nagy,662
Joe Pannunzio,663
Shaun Sarrett,664
Montgomery VanGorder,665
Parks Frazier,666
Christian Parker,667
Tyler Scudder,668
Tyler Yelk,669
Ronell Williams,670
Dennard Wilson,671
Kyle Valero,672
Kellen Moore,673
Thomas McGaughey,674
Bobby Blick,675
James Bettcher,676
Ryan Roeder,677
Brian Daboll,678
Ryan Hollern,679
Mike Treier,680
Jody Wright,681
Bobby Blick and Nick Williams,682
Stephen Brown,683
Derek Dooley,684
Jason Garrett,685
Patrick Graham,686
Joe Judge,687
Tom Quinn,688
Rob Leonard,689
Steve Spagnuolo,690
Ben McAdoo,691
Tom Coughlin,692
Mike Sullivan,693
Mike Kafka,694
Carter Blount,695
Christian Jones,696
Kevin Wilkins,697
Don Martindale,698
Angela Baker,699
Jeremy Pruitt,700
Russ Callaway,701
Freddie Kitchens,702
Kevin Petry,703
Mike Martin,704
Brian Young,705
Matt Giordano,706
Joe Woods,707
Darren Rizzi,708
Sean Ryan,709
Doug Nussmeier,710
Joel Thomas,711
D. J. Williams,712
Phil Galiano,713
Kerry Joseph,714
Brandon Staley,715
Tobijah Hughley,716
Al Holcomb,717
Perry Fewell,718
"Kevin Gilbride, Jr.",719
Kacy Rodgers,720
John Scott Jr.,721
Jason Vrable,722
Nathaniel Hackett,723
Brant Boyer,724
Robby Brown,725
Tim Atkins,726
Tony Sparano Jr.,727
Kathryn Smith,728
Rex Ryan,729
Dennis Thurman,730
Walter Kusmirek,731
Ryan Davis Sr,732
Junior Taylor,733
Jeff Ulbrich,734
Nathaniel Willingham,735
Billy VandeMerkt,736
Cade Knox,737
Shea Tierney,738
Tim Kelly,739
Troy Brown,740
Mike Henning,741
Eric Price,742
Michael Ghobrial,743
Grant Morgan,744
Zak Kuhr,745
Jerome Henderson,746
Shane Bowen,747
Mike Pettine,748
Bob Sutton,749
Brian Smith,750
Mark DeLeone,751
Mike Westhoff,752
Bill Callahan,753
Lance Taylor,754
Antwaan Randle El,755
Byron Leftwich,756
Mike Chiurco,757
John Van Dam,758
Anthony Perkins,759
Keith Armstrong,760
Danny Breyer,761
Nate Kaczor,762
Stephen Nicholas,763
Zack Grossi,764
A.Q. Shipley,765
Larry Foote,766
Joey Fitzgerald,767
Rashad Johnson,768
Jeff Kastl,769
Josh Grizzard,770
Liam Coen,771
Rick Christophel,772
Todd Monken,773
Dirk Koetter,774
Keli'i Kekuewa and Kerry Joseph,775
Sanjay Lal,776
Robbie Picazo,777
Chad Morton,778
Travis Jones,779
Lemuel Jeanpierre,780
Steve Shimko,781
Richard Bisaccia,782
Raheem Morris,783
Jeff Tedford,784
Dave Borgonzi,785
Ben Steele,786
Jon Gruden,787
Neiko Thorpe,788
BT Jordan,789
Michael Byrne,790
Matt Jones,791
Chris Harris,792
Nick Holz,793
Brian Callahan,794
Lori Locust,795
Coy Gibbs,796
Jack Burns,797
Don Breaux,798
defense – Gregg Williams,799
offense – Al Saunders,800
Steve Donatell,801
Tom Jones,802
Colt Anderson,803
Craig Aukerman,804
Mike McCoy,805
John Fassel,806
Dylan Autenrieth,807
Tony Oden,808
Travis Smith,809
Pete Ohnegian,810
Sarah Hogan,811
George Banko,812
Jason Simmons,813
Joe Whitt Jr.,814
"Shane Toub , Jesse Madden",815
Andre Coleman,816
Shane Toub,817
Kliff Kingsbury,818
Ron Rivera,819
Tyrae Reid Jr.,820
Scott Turner,821
Cristian Garcia,822
Vincent Rivera,823
Brandon Blaney,824
Luke Steckel,825
Mike Vrabel,826
Matt LaFleur,827
Kefense Hynson,828
Kevin Carberry,829
John Streicher,830
Clint McMillan,831
Kylan Butler,832
Justin Outten,833
Terrell Williams,834
Erik Frazier,835
Matt Pees,836
Ryan Crow,837
Teryl Austin,838
Mateo Kambui,839
Mike Singletary,840
Matt Symmes,841
Keith Butler,842
Matt Canada,843
Matt Tomsho,844
Greg Manusky,845
Shane Day,846
Robert Talley,847
Adam Gase,848
Jim Mora Jr,849
Luke Smith,850
Joey Porter,851
Steve Meyer,852
Matt Canada ; fired after Week 11,853
Glenn Thomas,854
Randy Fichtner,855
Bill Nayes,856
Klay Kubiak,857
Johnnie Lynn,858
Mick Lombardi,859
K. J. Wright,860
Miguel Reveles,861
Richard Hightower,862
Taylor Embree,863
Katie Sowers,864
Leonard Hankerson,865
Jon Embree,866
Mike Phair,867
Micheal Barrow,868
Jake Lynch,869
Brian Fleury,870
Patrick Hagedorn,871
Peter Hansen,872
Paul Wulff,873
Al Harris,874
Jason Michael,875
Mike Johnson,876
Curtis Modkins,877
Jim O'Neil,878
Tem Lukabu,879
Derius Swinton II,880
Crowley Hanlon,881
Richmond Flowers,882
T. C. McCartney,883
Jim Tomsula,884
Eric Bieniemy,885
Dino Vasso,886
Britt Reid,887
Jay Valai,888
Alex Whittingham,889
David Girardi,890
Brendan Daly,891
Joe D’Orazio,892
David Culley,893
Terry Bradden,894
Connor Embree,895
Joe Bleymaier,896
Rod Wilson,897
Kevin Saxton,898
Chris Orr,899
Matt House,900
Donald D'Alesio,901
Porter Ellett,902
Dan Williams,903
Carlos Polk,904
Patrick Reilly,905
Joe Cullen,906
Kyle Caskey,907
Jamel Mutunga,908
Heath Farwell,909
Ryan Nielsen,910
John DeFilippo,911
Todd Wash,912
ElizaBeth Mayers,913
