Team,Year,Role,Name
Arizona Cardinals,1994,Vice president,Larry Wilson
Arizona Cardinals,1994,Assistant general manager,Bob Ackles
Arizona Cardinals,1994,Director of college scouting,Bo Bolinger
Arizona Cardinals,1994,Head coach/general manager,Buddy Ryan
Arizona Cardinals,1994,Offensive coordinator,Dave Atkins
Arizona Cardinals,1994,Quarterbacks,Matt Cavanaugh
Arizona Cardinals,1994,Receivers/tight ends,Ted Plumb
Arizona Cardinals,1994,Offensive line,Dan Neal
Arizona Cardinals,1994,Offensive line assistant,Guy Morriss
Arizona Cardinals,1994,Quality control,George Martinez
Arizona Cardinals,1994,Defensive coordinator,Ronnie Jones
Arizona Cardinals,1994,Defensive line,Rex Ryan
Arizona Cardinals,1994,Linebackers,Ted Cottrell
Arizona Cardinals,1994,Defensive backs,Rob Ryan
Arizona Cardinals,1994,Special teams,Al Roberts
Arizona Cardinals,1994,Strength and conditioning,Bob Rogucki
Arizona Cardinals,1988,President,Bill Bidwill
Arizona Cardinals,1988,Vice president and general manager,Larry Wilson
Arizona Cardinals,1988,Director of pro personnel,Erik Widmark
Arizona Cardinals,1988,Director of player personnel,George Boone
Arizona Cardinals,1988,Head coach,Gene Stallings
Arizona Cardinals,1988,Offensive coordinator,Jim Shofner
Arizona Cardinals,1988,Running backs,Hank Kuhlmann
Arizona Cardinals,1988,Receivers,Mal Moore
Arizona Cardinals,1988,Offensive line,Tom Bresnahan
Arizona Cardinals,1988,Special assistant/quality control,Leon McLaughlin
Arizona Cardinals,1988,Defensive line,Jim Johnson
Arizona Cardinals,1988,Linebackers,Joe Pascale
Arizona Cardinals,1988,Defensive backs,Dennis Thurman
Arizona Cardinals,1988,Special teams,Marv Braden
Arizona Cardinals,1988,Strength and conditioning,LeBaron Caruthers
Arizona Cardinals,2003,President,Bill Bidwill
Arizona Cardinals,2003,Vice president/general counsel,Michael Bidwill
Arizona Cardinals,2003,Vice president of football operations,Rod Graves
Arizona Cardinals,2003,Head coach,Dave McGinnis
Arizona Cardinals,2003,Offensive coordinator,Jerry Sullivan
Arizona Cardinals,2003,Quarterbacks,Geep Chryst
Arizona Cardinals,2003,Running backs,Johnny Roland
Arizona Cardinals,2003,Wide receivers,Tyke Tolbert
Arizona Cardinals,2003,Tight ends,Marty Galbraith
Arizona Cardinals,2003,Offensive line,George Warhop
Arizona Cardinals,2003,Assistant off. line/off. quality control,Mike Devlin
Arizona Cardinals,2003,Defensive coordinator,Larry Marmie
Arizona Cardinals,2003,Defensive line,Joe Greene
Arizona Cardinals,2003,Assistant defensive line,Cary Godette
Arizona Cardinals,2003,Linebackers,Jeff FitzGerald
Arizona Cardinals,2003,Defensive backs,Ron Milus
Arizona Cardinals,2003,Special teams,Hank Kuhlmann
Arizona Cardinals,2003,Special teams assistant/def. quality control,Stan Kwan
Arizona Cardinals,2003,Strength and conditioning,Bob Rogucki
Arizona Cardinals,1997,President,Bill Bidwill
Arizona Cardinals,1997,Vice president,Larry Wilson
Arizona Cardinals,1997,Vice president and general counsel,Michael Bidwill
Arizona Cardinals,1997,Vice president of player personnel,Bob Ferguson
Arizona Cardinals,1997,Assistant to the president,Rod Graves
Arizona Cardinals,1997,Head coach,Vince Tobin
Arizona Cardinals,1997,Offensive coordinator,Dick Jamieson
Arizona Cardinals,1997,Running backs,Johnny Roland
Arizona Cardinals,1997,Wide receivers,Vic Rapp
Arizona Cardinals,1997,Tight ends/quality control,Geep Chryst
Arizona Cardinals,1997,Offensive line,Carl Mauck
Arizona Cardinals,1997,Defensive coordinator,Dave McGinnis
Arizona Cardinals,1997,Defensive line,Joe Greene
Arizona Cardinals,1997,Linebackers,Glenn Pires
Arizona Cardinals,1997,Defensive backs,Larry Marmie
Arizona Cardinals,1997,Special teams,Al Everest
Arizona Cardinals,1997,Strength and conditioning,Bob Rogucki
Arizona Cardinals,1999,President,Bill Bidwill
Arizona Cardinals,1999,Vice president,Larry Wilson
