role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup
Senior vice president of football administration/legal counsel,senior vice president of football administration/legal counsel,General Manager,VP Football Operations,,
Senior vice president of football administration/player finance,senior vice president of football administration/player finance,General Manager,VP Football Operations,,
Senior vice president of football operations,senior vice president of football operations,General Manager,VP Football Operations,,
Senior vice president of football operations/player personnel,senior vice president of football operations/player personnel,General Manager,VP Football Operations,,
Senior vice president of player personnel,senior vice president of player personnel,General Manager,VP Football Operations,,
Senior vice president/director of football administration,senior vice president/director of football administration,General Manager,VP Football Operations,,
Senior VP of football administration,senior vp of football administration,General Manager,VP Football Operations,,
Vice President and Director of Football Operations,vice president and director of football operations,General Manager,VP Football Operations,,
Vice president for player personnel,vice president for player personnel,General Manager,VP Football Operations,,
Vice president of development/football administration,vice president of development/football administration,General Manager,VP Football Operations,,
Vice president of football administration,vice president of football administration,General Manager,VP Football Operations,,
Vice President of Football Administration,vice president of football administration,General Manager,VP Football Operations,,
Vice president of football administration/player finance,vice president of football administration/player finance,General Manager,VP Football Operations,,
Vice President of Football Operations,vice president of football operations,General Manager,VP Football Operations,,
Vice president of football operations,vice president of football operations,General Manager,VP Football Operations,,
Vice president of football operations & compliance,vice president of football operations & compliance,General Manager,VP Football Operations,,
Vice president of football operations & facilities,vice president of football operations & facilities,General Manager,VP Football Operations,,
Vice president of football operations & senior advisor to ownership,vice president of football operations & senior advisor to ownership,General Manager,VP Football Operations,,
Vice president of football operations and compliance,vice president of football operations and compliance,General Manager,VP Football Operations,,
Vice president of football operations/player personnel,vice president of football operations/player personnel,General Manager,VP Football Operations,,
Vice president of player personnel,vice president of player personnel,General Manager,VP Football Operations,,
Vice President of Player Personnel,vice president of player personnel,General Manager,VP Football Operations,,
Vice President of player personnel,vice president of player personnel,General Manager,VP Football Operations,,
Vice president of player personnel process and development,vice president of player personnel process and development,General Manager,VP Football Operations,,
Vice president player personnel,vice president player personnel,General Manager,VP Football Operations,,
"Vice president, football administration","vice president, football administration",General Manager,VP Football Operations,,
"Vice president, football operations","vice president, football operations",General Manager,VP Football Operations,,
"Vice President, Football Operations","vice president, football operations",General Manager,VP Football Operations,,
"Vice president, player personnel","vice president, player personnel",General Manager,VP Football Operations,,
Vice president/director of football operations,vice president/director of football operations,General Manager,VP Football Operations,,
VP of development/football administration,vp of development/football administration,General Manager,VP Football Operations,,
VP of football administration,vp of football administration,General Manager,VP Football Operations,,
VP of Football Administration,vp of football administration,General Manager,VP Football Operations,,
VP of player personnel,vp of player personnel,General Manager,VP Football Operations,,
VP of Player Personnel,vp of player personnel,General Manager,VP Football Operations,,
VP player personnel,vp player personnel,General Manager,VP Football Operations,,
"VP, player personnel","vp, player personnel",General Manager,VP Football Operations,,
Administrative assistant to head coach and general manager,administrative assistant to head coach and general manager,Head Coach,Head Coach,,
Administrative assistant to the head coach,administrative assistant to the head coach,Head Coach,Head Coach,,
Administrative Assistant to the Head Coach,administrative assistant to the head coach,Head Coach,Head Coach,,
Administrative assistant to the head coach/Defensive Quality Control,administrative assistant to the head coach/defensive quality control,Head Coach,Head Coach,,
Assistant defensive line/assistant to head coach,assistant defensive line/assistant to head coach,Head Coach,Head Coach,,
Assistant head coach,assistant head coach,Head Coach,Head Coach,,
Assistant Head Coach,assistant head coach,Head Coach,Head Coach,,
Associate head coach,assistant head coach,Head Coach,Head Coach,,
Assistant head coach / Defensive Backs Coach,assistant head coach / defensive backs coach,Head Coach,Head Coach,,
Assistant head coach / Offensive Coordinator,assistant head coach / offensive coordinator,Head Coach,Head Coach,,
Associate head coach / offensive coordinator / running backs,assistant head coach / offensive coordinator / running backs,Head Coach,Head Coach,,
Assistant head coach / offensive line,assistant head coach / offensive line,Head Coach,Head Coach,,
Assistant Head Coach / Offensive Line,assistant head coach / offensive line,Head Coach,Head Coach,,
Assistant head coach / running backs,assistant head coach / running backs,Head Coach,Head Coach,,
Associate head coach / wide receivers,assistant head coach / wide receivers,Head Coach,Head Coach,,
Assistant head coach offense/wide receivers,assistant head coach offense/wide receivers,Head Coach,Head Coach,,
Assistant head coach–defense,assistant head coach-defense,Head Coach,Head Coach,,
Assistant head coach–defense/linebackers,assistant head coach-defense/linebackers,Head Coach,Head Coach,,
Assistant Head Coach–Defense/Linebackers (Interim Head Coach),assistant head coach-defense/linebackers (interim head coach),Head Coach,Head Coach,,
Associate head coach–offense,assistant head coach-offense,Head Coach,Head Coach,,
Assistant head coach–offense,assistant head coach-offense,Head Coach,Head Coach,,
Assistant head coach–offense/offensive line,assistant head coach-offense/offensive line,Head Coach,Head Coach,,
Assistant head coach–offense/running backs,assistant head coach-offense/running backs,Head Coach,Head Coach,,
Assistant head coach/co–defensive coordinator/defensive line,assistant head coach/co-defensive coordinator/defensive line,Head Coach,Head Coach,,
Assistant head coach/defense,assistant head coach/defense,Head Coach,Head Coach,,
Assistant Head Coach/Defense,assistant head coach/defense,Head Coach,Head Coach,,
Associate head coach/defense,assistant head coach/defense,Head Coach,Head Coach,,
Assistant head coach/defense (Interim Defensive Coordinator),assistant head coach/defense (interim defensive coordinator),Head Coach,Head Coach,,
Assistant head coach/defense line,assistant head coach/defense line,Head Coach,Head Coach,,
Assistant head coach/defense/inside linebackers,assistant head coach/defense/inside linebackers,Head Coach,Head Coach,,
Assistant head coach/defensive,assistant head coach/defensive,Head Coach,Head Coach,,
Assistant head coach/defensive backs,assistant head coach/defensive backs,Head Coach,Head Coach,,
Assistant Head Coach/Defensive Backs Coach,assistant head coach/defensive backs coach,Head Coach,Head Coach,,
Assistant head coach/defensive coordinator,assistant head coach/defensive coordinator,Head Coach,Head Coach,,
Assistant head coach/defensive Coordinator,assistant head coach/defensive coordinator,Head Coach,Head Coach,,
Assistant Head Coach/Defensive Coordinator,assistant head coach/defensive coordinator,Head Coach,Head Coach,,
Associate head coach/defensive coordinator,assistant head coach/defensive coordinator,Head Coach,Head Coach,,
Assistant head coach/defensive line,assistant head coach/defensive line,Head Coach,Head Coach,,
Associate head coach/defensive line,assistant head coach/defensive line,Head Coach,Head Coach,,
Assistant head coach/football operations,assistant head coach/football operations,Head Coach,Head Coach,,
Assistant head coach/inside linebackers,assistant head coach/inside linebackers,Head Coach,Head Coach,,
Assistant head coach/interim defensive coordinator/inside linebackers,assistant head coach/interim defensive coordinator/inside linebackers,Head Coach,Head Coach,,
Assistant head coach/interim defensive coordinator/linebackers,assistant head coach/interim defensive coordinator/linebackers,Head Coach,Head Coach,,
Assistant head coach/interim offensive coordinator,assistant head coach/interim offensive coordinator,Head Coach,Head Coach,,
Associate head coach/interim offensive coordinator/running backs,assistant head coach/interim offensive coordinator/running backs,Head Coach,Head Coach,,
Assistant head coach/linebackers,assistant head coach/linebackers,Head Coach,Head Coach,,
Assistant Head Coach/Linebackers,assistant head coach/linebackers,Head Coach,Head Coach,,
Associate head coach/linebackers,assistant head coach/linebackers,Head Coach,Head Coach,,
Assistant head coach/offense,assistant head coach/offense,Head Coach,Head Coach,,
Assistant Head Coach/Offense,assistant head coach/offense,Head Coach,Head Coach,,
Associate head coach/offense,assistant head coach/offense,Head Coach,Head Coach,,
Assistant head coach/offense/wide receivers,assistant head coach/offense/wide receivers,Head Coach,Head Coach,,
Assistant head coach/offensive advisor,assistant head coach/offensive advisor,Head Coach,Head Coach,,
Assistant head coach/offensive analyst,assistant head coach/offensive analyst,Head Coach,Head Coach,,
Assistant head coach/offensive coordinator,assistant head coach/offensive coordinator,Head Coach,Head Coach,,
Assistant Head Coach/Offensive Coordinator,assistant head coach/offensive coordinator,Head Coach,Head Coach,,
Associate head coach/offensive coordinator,assistant head coach/offensive coordinator,Head Coach,Head Coach,,
Assistant head coach/offensive line,assistant head coach/offensive line,Head Coach,Head Coach,,
Assistant head coach/Offensive Line,assistant head coach/offensive line,Head Coach,Head Coach,,
Assistant Head Coach/Offensive Line,assistant head coach/offensive line,Head Coach,Head Coach,,
Associate head coach/offensive line,assistant head coach/offensive line,Head Coach,Head Coach,,
Assistant head coach/offensive line coach,assistant head coach/offensive line coach,Head Coach,Head Coach,,
Assistant head coach/offensive pass game coordinator,assistant head coach/offensive pass game coordinator,Head Coach,Head Coach,,
Assistant head coach/offensive passing game coordinator/wide receivers,assistant head coach/offensive passing game coordinator/wide receivers,Head Coach,Head Coach,,
Assistant head coach/outside linebackers,assistant head coach/outside linebackers,Head Coach,Head Coach,,
Assistant head coach/pass game coordinator,assistant head coach/pass game coordinator,Head Coach,Head Coach,,
Assistant head coach/passing coordinator/wide receivers,assistant head coach/passing coordinator/wide receivers,Head Coach,Head Coach,,
Associate head coach/passing game coordinator,assistant head coach/passing game coordinator,Head Coach,Head Coach,,
Assistant head coach/passing game coordinator,assistant head coach/passing game coordinator,Head Coach,Head Coach,,
Assistant head coach/passing game coordinator/wide receivers,assistant head coach/passing game coordinator/wide receivers,Head Coach,Head Coach,,
Assistant head coach/Quarterbacks,assistant head coach/quarterbacks,Head Coach,Head Coach,,
Assistant head coach/quarterbacks,assistant head coach/quarterbacks,Head Coach,Head Coach,,
Associate head coach/quarterbacks,assistant head coach/quarterbacks,Head Coach,Head Coach,,
Assistant head coach/run game coordinator,assistant head coach/run game coordinator,Head Coach,Head Coach,,
Assistant head coach/Run game coordinator,assistant head coach/run game coordinator,Head Coach,Head Coach,,
Assistant head coach/run game coordinator/offensive line,assistant head coach/run game coordinator/offensive line,Head Coach,Head Coach,,
Assistant head coach/running backs,assistant head coach/running backs,Head Coach,Head Coach,,
Associate head coach/running backs,assistant head coach/running backs,Head Coach,Head Coach,,
Assistant head coach/running game,assistant head coach/running game,Head Coach,Head Coach,,
Associate head coach/running game coordinator,assistant head coach/running game coordinator,Head Coach,Head Coach,,
Assistant head coach/safeties,assistant head coach/safeties,Head Coach,Head Coach,,
Assistant head coach/Secondary,assistant head coach/secondary,Head Coach,Head Coach,,
Assistant head coach/secondary,assistant head coach/secondary,Head Coach,Head Coach,,
Assistant head coach/special teams,assistant head coach/special teams,Head Coach,Head Coach,,
Assistant Head Coach/Special Teams,assistant head coach/special teams,Head Coach,Head Coach,,
Associate head coach/special teams coordinator,assistant head coach/special teams coordinator,Head Coach,Head Coach,,
Assistant head coach/special teams coordinator,assistant head coach/special teams coordinator,Head Coach,Head Coach,,
Assistant head coach/Special teams coordinator,assistant head coach/special teams coordinator,Head Coach,Head Coach,,
Assistant head coach/special teams  coordinator,assistant head coach/special teams coordinator,Head Coach,Head Coach,,
Associate head coach/special teams coordinator/running backs,assistant head coach/special teams coordinator/running backs,Head Coach,Head Coach,,
Assistant head coach/strength and conditioning,assistant head coach/strength and conditioning,Head Coach,Head Coach,,
Assistant head coach/tight ends,assistant head coach/tight ends,Head Coach,Head Coach,,
Assistant head coach/tight ends/ interim offensive line,assistant head coach/tight ends/ interim offensive line,Head Coach,Head Coach,,
Assistant head coach/tight ends/special teams coordinator,assistant head coach/tight ends/special teams coordinator,Head Coach,Head Coach,,
Assistant head coach/Wide Receivers,assistant head coach/wide receivers,Head Coach,Head Coach,,
Assistant head coach/wide receivers,assistant head coach/wide receivers,Head Coach,Head Coach,,
Assistant Head Coach/Wide Receivers,assistant head coach/wide receivers,Head Coach,Head Coach,,
Associate head coach/wide receivers,assistant head coach/wide receivers,Head Coach,Head Coach,,
Assistant head coachdefense,assistant head coachdefense,Head Coach,Head Coach,,
Assistant special teams/administrative assistant to the head coach,assistant special teams/administrative assistant to the head coach,Head Coach,Head Coach,,
Assistant special teams/head coach liaison,assistant special teams/head coach liaison,Head Coach,Head Coach,,
Assistant to head coach,assistant to head coach,Head Coach,Head Coach,,
Assistant to head coach/defensive quality control,assistant to head coach/defensive quality control,Head Coach,Head Coach,,
Assistant to head coach/football operations,assistant to head coach/football operations,Head Coach,Head Coach,,
Assistant to head coach/pro personnel,assistant to head coach/pro personnel,Head Coach,Head Coach,,
Assistant to the head coach,assistant to the head coach,Head Coach,Head Coach,,
Assistant to the Head Coach,assistant to the head coach,Head Coach,Head Coach,,
Assistant to the Head coach,assistant to the head coach,Head Coach,Head Coach,,
Assistant to the head coach & administrator of coaching operations,assistant to the head coach & administrator of coaching operations,Head Coach,Head Coach,,
Assistant to the Head Coach and Administrator of Coaching Operations,assistant to the head coach and administrator of coaching operations,Head Coach,Head Coach,,
Assistant to the head coach/administrator of coaching operations,assistant to the head coach/administrator of coaching operations,Head Coach,Head Coach,,
Assistant to the Head Coach/Administrator of Coaching Operations,assistant to the head coach/administrator of coaching operations,Head Coach,Head Coach,,
Assistant to the head coach/defensive assistant,assistant to the head coach/defensive assistant,Head Coach,Head Coach,,
Assistant to the head coach/football operations,assistant to the head coach/football operations,Head Coach,Head Coach,,
Assistant to the head coach/offense,assistant to the head coach/offense,Head Coach,Head Coach,,
Assistant to the head coach/offensive assistant,assistant to the head coach/offensive assistant,Head Coach,Head Coach,,
Assistant to the head coach/quarterbacks,assistant to the head coach/quarterbacks,Head Coach,Head Coach,,
Assistant to the head coach/special projects,assistant to the head coach/special projects,Head Coach,Head Coach,,
Assistant/acting head coach and Special teams coordinator,assistant/acting head coach and special teams coordinator,Head Coach,Head Coach,,
Consultant to the head coach,consultant to the head coach,Head Coach,Head Coach,,
Defensive pass game coordinator/assistant head coach,defensive pass game coordinator/assistant head coach,Head Coach,Head Coach,,
Director of football / head coach administration,director of football / head coach administration,Head Coach,Head Coach,,
Director of football/head coach administration,director of football/head coach administration,Head Coach,Head Coach,,
Director of player development/special assistant to the head coach,director of player development/special assistant to the head coach,Head Coach,Head Coach,,
Executive assistant to the head coach,executive assistant to the head coach,Head Coach,Head Coach,,
Executive assistant to the Head Coach,executive assistant to the head coach,Head Coach,Head Coach,,
Executive vice president of football operations/general manager/head coach,executive vice president of football operations/general manager/head coach,Head Coach,Head Coach,,
Executive vice president of football operations/head coach,executive vice president of football operations/head coach,Head Coach,Head Coach,,
Executive Vice president of football operations/head coach,executive vice president of football operations/head coach,Head Coach,Head Coach,,
Executive vice president/general manager/head coach,executive vice president/general manager/head coach,Head Coach,Head Coach,,
Executive vice president/head coach,executive vice president/head coach,Head Coach,Head Coach,,
general manager/Head Coach,general manager/head coach,Head Coach,Head Coach,,
General manager/head coach,general manager/head coach,Head Coach,Head Coach,,
Head coach,head coach,Head Coach,Head Coach,,
Head Coach,head coach,Head Coach,Head Coach,,
Head coach / Quarterbacks,head coach / quarterbacks,Head Coach,Head Coach,,
Head coach and director of football operations,head coach and director of football operations,Head Coach,Head Coach,,
Head coach and General Manager,head coach and general manager,Head Coach,Head Coach,,
Head coach and president of football operations,head coach and president of football operations,Head Coach,Head Coach,,
Head coach research specialist,head coach research specialist,Head Coach,Head Coach,,
Head coach's assistant,head coach's assistant,Head Coach,Head Coach,,
Head coach's associate,head coach's assistant,Head Coach,Head Coach,,
Head coach/defensive coordinator,head coach/defensive coordinator,Head Coach,Head Coach,,
Head coach/director of football operations,head coach/director of football operations,Head Coach,Head Coach,,
Head coach/executive vice president,head coach/executive vice president,Head Coach,Head Coach,,
Head coach/executive vice president of football operations,head coach/executive vice president of football operations,Head Coach,Head Coach,,
Head coach/general manager,head coach/general manager,Head Coach,Head Coach,,
Head coach/General Manager,head coach/general manager,Head Coach,Head Coach,,
Head Coach/General Manager,head coach/general manager,Head Coach,Head Coach,,
Head coach/General manager,head coach/general manager,Head Coach,Head Coach,,
Head coach/vice president of football operations,head coach/vice president of football operations,Head Coach,Head Coach,,
Interim Head Coach,interim head coach,Head Coach,Head Coach,,
Interim head coach,interim head coach,Head Coach,Head Coach,,
Interim Head coach,interim head coach,Head Coach,Head Coach,,
Interim head coach (games 7–16)/assistant head coach/linebackers,interim head coach (games 7-16)/assistant head coach/linebackers,Head Coach,Head Coach,,
Interim head coach/associate head coach,interim head coach/assistant head coach,Head Coach,Head Coach,,
Interim head coach/assistant head coach/offensive line,interim head coach/assistant head coach/offensive line,Head Coach,Head Coach,,
Off./def. administrative assistant to the head coach,off./def. administrative assistant to the head coach,Head Coach,Head Coach,,
Offense Coordinator / Assistant Head Coach,offense coordinator / assistant head coach,Head Coach,Head Coach,,
Offensive quality control/assistant to the head coach,offensive quality control/assistant to the head coach,Head Coach,Head Coach,,
Offensive run game coordinator/assistant head coach,offensive run game coordinator/assistant head coach,Head Coach,Head Coach,,
President/head coach,president/head coach,Head Coach,Head Coach,,
Quality control to the head coach,quality control to the head coach,Head Coach,Head Coach,,
Quality control/head coach assistant,quality control/head coach assistant,Head Coach,Head Coach,,
Senior advisor to the head coach and general manager,senior advisor to the head coach and general manager,Head Coach,Head Coach,,
Senior assistant to the head coach,senior assistant to the head coach,Head Coach,Head Coach,,
Special assistant to head coach,special assistant to head coach,Head Coach,Head Coach,,
Special Assistant to Head Coach,special assistant to head coach,Head Coach,Head Coach,,
Special Assistant to Head Coach/Offense,special assistant to head coach/offense,Head Coach,Head Coach,,
Special Assistant to the Head Coach,special assistant to the head coach,Head Coach,Head Coach,,
Special assistant to the head coach,special assistant to the head coach,Head Coach,Head Coach,,
Special Assistant to the head coach,special assistant to the head coach,Head Coach,Head Coach,,
Special assistant to the Head coach,special assistant to the head coach,Head Coach,Head Coach,,
Special assistant to the head coach/defensive backs/secondary,special assistant to the head coach/defensive backs/secondary,Head Coach,Head Coach,,
Special assistant to the head coach/linebackers,special assistant to the head coach/linebackers,Head Coach,Head Coach,,
Special assistant to the head coach/offense,special assistant to the head coach/offense,Head Coach,Head Coach,,
Special assistant to the head coach/offensive coordinator,special assistant to the head coach/offensive coordinator,Head Coach,Head Coach,,
Special teams coordinator/Assistant head coach,special teams coordinator/assistant head coach,Head Coach,Head Coach,,
Special teams coordinator/assistant head coach,special teams coordinator/assistant head coach,Head Coach,Head Coach,,
Vice president for football operations/head coach,vice president for football operations/head coach,Head Coach,Head Coach,,
Vice president of team administration/assistant to head coach,vice president of team administration/assistant to head coach,Head Coach,Head Coach,,
"Vice president, head coach, and offensive coordinator","vice president, head coach, and offensive coordinator",Head Coach,Head Coach,,
Vice President/Head Coach,vice president/head coach,Head Coach,Head Coach,,
Vice president/head Coach,vice president/head coach,Head Coach,Head Coach,,
Vice president/head coach,vice president/head coach,Head Coach,Head Coach,,
Vice–president/head coach,vice-president/head coach,Head Coach,Head Coach,,
Assistant director of player performance,assistant director of player performance,Medical & Training,Assistant Director - Performance,,
Assistant director of sports performance,assistant director of sports performance,Medical & Training,Assistant Director - Performance,,
Director of Applied Sports Science,director of applied sports science,Medical & Training,Director - Performance/Sports Science,,
Director of athletic performance,director of athletic performance,Medical & Training,Director - Performance/Sports Science,,
Director of high performance,director of high performance,Medical & Training,Director - Performance/Sports Science,,
Director of human performance,director of human performance,Medical & Training,Director - Performance/Sports Science,,
Director of performance and recovery,director of performance and recovery,Medical & Training,Director - Performance/Sports Science,,
Director of performance nutrition,director of performance nutrition,Medical & Training,Director - Performance/Sports Science,,
Director of physical development,director of physical development,Medical & Training,Director - Performance/Sports Science,,
Director of player performance,director of player performance,Medical & Training,Director - Performance/Sports Science,,
Director of Player Performance,director of player performance,Medical & Training,Director - Performance/Sports Science,,
Director of rehabilitation and performance,director of rehabilitation and performance,Medical & Training,Director - Performance/Sports Science,,
Director of rehabilitation/performance,director of rehabilitation/performance,Medical & Training,Director - Performance/Sports Science,,
Director of sports performance,director of sports performance,Medical & Training,Director - Performance/Sports Science,,
Director of sports science,director of sports science,Medical & Training,Director - Performance/Sports Science,,
"Director, football performance","director, football performance",Medical & Training,Director - Performance/Sports Science,,
"Director, high performance","director, high performance",Medical & Training,Director - Performance/Sports Science,,
Executive director of player performance,executive director of player performance,Medical & Training,Director - Performance/Sports Science,,
Senior director of player health and performance,senior director of player health and performance,Medical & Training,Director - Performance/Sports Science,,
Senior director of sports performance,senior director of sports performance,Medical & Training,Director - Performance/Sports Science,,
Administrative trainer,administrative trainer,Medical & Training,Medical/Training Staff,,
Assistant athletic trainer,assistant athletic trainer,Medical & Training,Medical/Training Staff,,
Assistant Athletic Trainer,assistant athletic trainer,Medical & Training,Medical/Training Staff,,
Assistant trainer,assistant trainer,Medical & Training,Medical/Training Staff,,
Assistant Trainer,assistant trainer,Medical & Training,Medical/Training Staff,,
Athletic Trainer,athletic trainer,Medical & Training,Medical/Training Staff,,
Dentist,dentist,Medical & Training,Medical/Training Staff,,
Head athletic trainer,head athletic trainer,Medical & Training,Medical/Training Staff,,
Head athletic trainer/director of sports medicine,head athletic trainer/director of sports medicine,Medical & Training,Medical/Training Staff,,
Head trainer,head trainer,Medical & Training,Medical/Training Staff,,
"Paul Uram *Mike Walker *Physician, M.D.","paul uram *mike walker *physician, m.d",Medical & Training,Medical/Training Staff,,
"Physician, consultant","physician, consultant",Medical & Training,Medical/Training Staff,,
"Physician, M.D.","physician, m.d",Medical & Training,Medical/Training Staff,,
"Physician, neurosurgery","physician, neurosurgery",Medical & Training,Medical/Training Staff,,
"Physician, orthopedic","physician, orthopedic",Medical & Training,Medical/Training Staff,,
"Physician, Orthopedic","physician, orthopedic",Medical & Training,Medical/Training Staff,,
"Physician, orthopedic surgery","physician, orthopedic surgery",Medical & Training,Medical/Training Staff,,
Trainer,trainer,Medical & Training,Medical/Training Staff,,
Nutrition coordinator,nutrition coordinator,Medical & Training,Nutritionist,,
Nutritionist,nutritionist,Medical & Training,Nutritionist,,
Applied sports science,applied sports science,Medical & Training,Performance/Sports Science,,
Applied Sports Science Apprentice,applied sports science apprentice,Medical & Training,Performance/Sports Science,,
Applied Sports Science Coordinator,applied sports science coordinator,Medical & Training,Performance/Sports Science,,
Assistant of Performance Nutrition,assistant of performance nutrition,Medical & Training,Performance/Sports Science,,
Assistant Physical Development Coordinator,assistant physical development coordinator,Medical & Training,Performance/Sports Science,,
Assistant physical development coordinator,assistant physical development coordinator,Medical & Training,Performance/Sports Science,,
Assistant player performance,assistant player performance,Medical & Training,Performance/Sports Science,,
Assistant sports performance: speed training,assistant sports performance: speed training,Medical & Training,Performance/Sports Science,,
Athletic performance manager,athletic performance manager,Medical & Training,Performance/Sports Science,,
Coordinator of physical development,coordinator of physical development,Medical & Training,Performance/Sports Science,,
coordinator of physical development,coordinator of physical development,Medical & Training,Performance/Sports Science,,
Football performance,football performance,Medical & Training,Performance/Sports Science,,
Football performance coordinator,football performance coordinator,Medical & Training,Performance/Sports Science,,
Human performance assistant,human performance assistant,Medical & Training,Performance/Sports Science,,
Performance coach,performance coach,Medical & Training,Performance/Sports Science,,
Performance manager,performance manager,Medical & Training,Performance/Sports Science,,
Performance nutrition coordinator,performance nutrition coordinator,Medical & Training,Performance/Sports Science,,
Physical Development Coordinator,physical development coordinator,Medical & Training,Performance/Sports Science,,
Physical development coordinator,physical development coordinator,Medical & Training,Performance/Sports Science,,
Player performance assistant,player performance assistant,Medical & Training,Performance/Sports Science,,
Senior advisor for football performance,senior advisor for football performance,Medical & Training,Performance/Sports Science,,
Sports performance assistant,sports performance assistant,Medical & Training,Performance/Sports Science,,
Sports science coordinator,sports science coordinator,Medical & Training,Performance/Sports Science,,
Vice president of player health and performance,vice president of player health and performance,Medical & Training,Performance/Sports Science,,
Vice president of player performance,vice president of player performance,Medical & Training,Performance/Sports Science,,
Vice President of sports medicine and performance,vice president of sports medicine and performance,Medical & Training,Performance/Sports Science,,
Vice president of sports medicine and performance,vice president of sports medicine and performance,Medical & Training,Performance/Sports Science,,
"Vice President, Player Health & Performance","vice president, player health & performance",Medical & Training,Performance/Sports Science,,
Secretary of the board of directors,secretary of the board of directors,Ownership/Executive,Board/Committee,,
CEO,ceo,Ownership/Executive,CEO,,
CEO/president,ceo/president,Ownership/Executive,CEO,,
CEO/president of business operations,ceo/president of business operations,Ownership/Executive,CEO,,
Chief executive,chief executive,Ownership/Executive,CEO,,
Chief Executive Officer,chief executive officer,Ownership/Executive,CEO,,
Chief executive officer,chief executive officer,Ownership/Executive,CEO,,
chief executive officer,chief executive officer,Ownership/Executive,CEO,,
Executive vice president/CEO,executive vice president/ceo,Ownership/Executive,CEO,,
President / Chief Executive Officer (CEO),president / chief executive officer (ceo),Ownership/Executive,CEO,,
President and CEO,president and ceo,Ownership/Executive,CEO,,
President and Chief Executive Officer,president and chief executive officer,Ownership/Executive,CEO,,
President and chief executive officer,president and chief executive officer,Ownership/Executive,CEO,,
President and co–chief executive officer,president and co-chief executive officer,Ownership/Executive,CEO,,
"President, co–CEO","president, co-ceo",Ownership/Executive,CEO,,
President/CEO,president/ceo,Ownership/Executive,CEO,,
President/CEO/EXECUTOR OF WILL,president/ceo/executor of will,Ownership/Executive,CEO,,
President/Chief Executive Officer,president/chief executive officer,Ownership/Executive,CEO,,
President/chief executive officer,president/chief executive officer,Ownership/Executive,CEO,,
President/co–chief executive officer,president/co-chief executive officer,Ownership/Executive,CEO,,
Chief Financial Officer,chief financial officer,Ownership/Executive,CFO,,
Chief financial officer,chief financial officer,Ownership/Executive,CFO,,
Executive vice president/chief financial officer,executive vice president/chief financial officer,Ownership/Executive,CFO,,
"Senior vice president of administration, CFO","senior vice president of administration, cfo",Ownership/Executive,CFO,,
"Senior vice president, chief financial officer","senior vice president, chief financial officer",Ownership/Executive,CFO,,
Vice president of administration and chief financial officer,vice president of administration and chief financial officer,Ownership/Executive,CFO,,
Vice–president of administration and Chief Financial Officer,vice-president of administration and chief financial officer,Ownership/Executive,CFO,,
Chief operating officer,chief operating officer,Ownership/Executive,COO,,
Chief Operating Officer,chief operating officer,Ownership/Executive,COO,,
COO,coo,Ownership/Executive,COO,,
EVP / chief operating officer,evp / chief operating officer,Ownership/Executive,COO,,
EVP / Chief Operating Officer,evp / chief operating officer,Ownership/Executive,COO,,
EVP/ COO,evp/ coo,Ownership/Executive,COO,,
Executive vice president and Chief Operating Officer,executive vice president and chief operating officer,Ownership/Executive,COO,,
Executive vice president and chief operating officer,executive vice president and chief operating officer,Ownership/Executive,COO,,
Executive vice president and coo,executive vice president and coo,Ownership/Executive,COO,,
Executive vice president/chief operating officer,executive vice president/chief operating officer,Ownership/Executive,COO,,
Executive vice president/COO,executive vice president/coo,Ownership/Executive,COO,,
Executive Vice President/COO,executive vice president/coo,Ownership/Executive,COO,,
Executive vice president/coo/cfo,executive vice president/coo/cfo,Ownership/Executive,COO,,
Executive vice president/COO/CFO,executive vice president/coo/cfo,Ownership/Executive,COO,,
Senior executive vice president/chief operating officer,senior executive vice president/chief operating officer,Ownership/Executive,COO,,
Senior vice president and chief operating officer,senior vice president and chief operating officer,Ownership/Executive,COO,,
Senior vice president/chief operating officer,senior vice president/chief operating officer,Ownership/Executive,COO,,
Senior vice president/coo,senior vice president/coo,Ownership/Executive,COO,,
Senior vice president/COO,senior vice president/coo,Ownership/Executive,COO,,
Executive vice president,executive vice president,Ownership/Executive,Executive VP,,
Executive Vice President,executive vice president,Ownership/Executive,Executive VP,,
Executive vice president/executive officer,executive vice president/executive officer,Ownership/Executive,Executive VP,,
Executive vice president/interim CEO,executive vice president/interim ceo,Ownership/Executive,Executive VP,,
Executive vice–president,executive vice-president,Ownership/Executive,Executive VP,,
Interim president/executive vice president/general counsel,interim president/executive vice president/general counsel,Ownership/Executive,Executive VP,,
Partner/Executive vice president,partner/executive vice president,Ownership/Executive,Executive VP,,
Senior Executive Vice President,senior executive vice president,Ownership/Executive,Executive VP,,
Senior executive vice president,senior executive vice president,Ownership/Executive,Executive VP,,
Senior vice president,senior vice president,Ownership/Executive,Executive VP,,
Senior Vice President,senior vice president,Ownership/Executive,Executive VP,,
Founder,founder,Ownership/Executive,Founder,,
CEO/chairman,ceo/chairman,Ownership/Executive,Owner/Chairman,,
CEO/Owner,ceo/owner,Ownership/Executive,Owner/Chairman,,
Chairman,chairman,Ownership/Executive,Owner/Chairman,,
Chairman and CEO,chairman and ceo,Ownership/Executive,Owner/Chairman,,
Chairman and co–chief executive officer,chairman and co-chief executive officer,Ownership/Executive,Owner/Chairman,,
