role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup
Vice President of Business Operations,vice president of business operations,Administrative & Operations,Business Operations,,
Vice president of business operations,vice president of business operations,Administrative & Operations,Business Operations,,
Vice president of football and business administration,vice president of football and business administration,Administrative & Operations,Business Operations,,
Vice–president of business operations,vice-president of business operations,Administrative & Operations,Business Operations,,
Assistant/community relations,assistant/community relations,Administrative & Operations,Community Relations,,
Community relations coordinator,community relations coordinator,Administrative & Operations,Community Relations,,
Community relations manager,community relations manager,Administrative & Operations,Community Relations,,
PR Assistant/Community Relations,pr assistant/community relations,Administrative & Operations,Community Relations,,
Director of business,director of business,Administrative & Operations,Director - Business,,
Director of business & administration,director of business & administration,Administrative & Operations,Director - Business,,
Director of communications & business,director of communications & business,Administrative & Operations,Director - Business,,
Director of football and business administration,director of football and business administration,Administrative & Operations,Director - Business,,
Alumni Relations / Director of Player Development,alumni relations / director of player development,Administrative & Operations,Director - Player Development,,
Assistant to the director of player development,assistant to the director of player development,Administrative & Operations,Director - Player Development,,
Director of Player Development,director of player development,Administrative & Operations,Director - Player Development,,
Director of player development,director of player development,Administrative & Operations,Director - Player Development,,
Director of player development and youth football,director of player development and youth football,Administrative & Operations,Director - Player Development,,
Director of Player Development and Youth Football,director of player development and youth football,Administrative & Operations,Director - Player Development,,
Director of Player Development/Alumni Relations,director of player development/alumni relations,Administrative & Operations,Director - Player Development,,
Director of pro player development/contract negotiations,director of pro player development/contract negotiations,Administrative & Operations,Director - Player Development,,
"Director, football and player development","director, football and player development",Administrative & Operations,Director - Player Development,,
"Senior director, football and player development","senior director, football and player development",Administrative & Operations,Director - Player Development,,
Director of player engagement,director of player engagement,Administrative & Operations,Director - Player Engagement,,
Assistant equipment manager,assistant equipment manager,Administrative & Operations,Equipment/Video/Field Staff,,
Director of video services,director of video services,Administrative & Operations,Equipment/Video/Field Staff,,
Equipment consultant,equipment consultant,Administrative & Operations,Equipment/Video/Field Staff,,
Equipment manager,equipment manager,Administrative & Operations,Equipment/Video/Field Staff,,
