role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup,side_of_ball
Executive vice president of football and business operations,executive vice president of football and business operations,Administrative & Operations,Business Operations,,,N/A
Executive vice president of football business,executive vice president of football business,Administrative & Operations,Business Operations,,,N/A
Executive vice–president of business operations,executive vice-president of business operations,Administrative & Operations,Business Operations,,,N/A
Football business manager,football business manager,Administrative & Operations,Business Operations,,,N/A
Senior vice president of business operations,senior vice president of business operations,Administrative & Operations,Business Operations,,,N/A
Senior vice president of football & business administration,senior vice president of football & business administration,Administrative & Operations,Business Operations,,,N/A
"Senior vice president, football and business administration","senior vice president, football and business administration",Administrative & Operations,Business Operations,,,N/A
Vice President of Business Operations,vice president of business operations,Administrative & Operations,Business Operations,,,N/A
Vice president of business operations,vice president of business operations,Administrative & Operations,Business Operations,,,N/A
Vice president of football and business administration,vice president of football and business administration,Administrative & Operations,Business Operations,,,N/A
Vice–president of business operations,vice-president of business operations,Administrative & Operations,Business Operations,,,N/A
Executive vice president/chief brand officer,executive vice president/chief brand officer,Administrative & Operations,Chief Brand/Sales Officer,,,N/A
Executive vice president/chief of sales,executive vice president/chief of sales,Administrative & Operations,Chief Brand/Sales Officer,,,N/A
Chief negotiator,chief negotiator,Administrative & Operations,Chief Negotiator,,,N/A
Assistant/community relations,assistant/community relations,Administrative & Operations,Community Relations,,,N/A
Community relations coordinator,community relations coordinator,Administrative & Operations,Community Relations,,,N/A
Community relations manager,community relations manager,Administrative & Operations,Community Relations,,,N/A
PR Assistant/Community Relations,pr assistant/community relations,Administrative & Operations,Community Relations,,,N/A
Director,director,Administrative & Operations,Director,,,N/A
Director of business,director of business,Administrative & Operations,Director - Business,,,N/A
Director of business & administration,director of business & administration,Administrative & Operations,Director - Business,,,N/A
Director of communications & business,director of communications & business,Administrative & Operations,Director - Business,,,N/A
Director of football and business administration,director of football and business administration,Administrative & Operations,Director - Business,,,N/A
Director of compliance,director of compliance,Administrative & Operations,Director - Compliance,,,N/A
Director of team administration,director of team administration,Administrative & Operations,Director - Football Administration,,,N/A
Director of Team Administration,director of team administration,Administrative & Operations,Director - Football Administration,,,N/A
Director of player administration,director of player administration,Administrative & Operations,Director - Player Administration,,,N/A
Director of player procurement,director of player procurement,Administrative & Operations,Director - Player Administration,,,N/A
Director of Player Procurement,director of player procurement,Administrative & Operations,Director - Player Administration,,,N/A
Alumni Relations / Director of Player Development,alumni relations / director of player development,Administrative & Operations,Director - Player Development,,,N/A
Assistant to the director of player development,assistant to the director of player development,Administrative & Operations,Director - Player Development,,,N/A
Director of Player Development,director of player development,Administrative & Operations,Director - Player Development,,,N/A
Director of player development,director of player development,Administrative & Operations,Director - Player Development,,,N/A
Director of player development and youth football,director of player development and youth football,Administrative & Operations,Director - Player Development,,,N/A
Director of Player Development and Youth Football,director of player development and youth football,Administrative & Operations,Director - Player Development,,,N/A
Director of Player Development/Alumni Relations,director of player development/alumni relations,Administrative & Operations,Director - Player Development,,,N/A
Director of pro player development/contract negotiations,director of pro player development/contract negotiations,Administrative & Operations,Director - Player Development,,,N/A
"Director, football and player development","director, football and player development",Administrative & Operations,Director - Player Development,,,N/A
"Senior director, football and player development","senior director, football and player development",Administrative & Operations,Director - Player Development,,,N/A
Director of player engagement,director of player engagement,Administrative & Operations,Director - Player Engagement,,,N/A
Entertainment manager,entertainment manager,Administrative & Operations,Entertainment/Events,,,N/A
