role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup,side_of_ball
Assistant head coach/offensive coordinator,assistant head coach/offensive coordinator,Coordinator,Offensive Coordinator,,,Offense
Assistant Head Coach/Offensive Coordinator,assistant head coach/offensive coordinator,Coordinator,Offensive Coordinator,,,Offense
Associate head coach/offensive coordinator,assistant head coach/offensive coordinator,Coordinator,Offensive Coordinator,,,Offense
Assistant to the offensive coordinator,assistant to the offensive coordinator,Coordinator,Offensive Coordinator,,,Offense
Co–offensive coordinator,co-offensive coordinator,Coordinator,Offensive Coordinator,,,Offense
Co–offensive coordinator/running backs,co-offensive coordinator/running backs,Coordinator,Offensive Coordinator,,,Offense
Co–offensive coordinator/tight ends,co-offensive coordinator/tight ends,Coordinator,Offensive Coordinator,,,Offense
Interim head coach/offensive coordinator,interim head coach/offensive coordinator,Coordinator,Offensive Coordinator,,,Offense
Interim Head coach/offensive coordinator,interim head coach/offensive coordinator,Coordinator,Offensive Coordinator,,,Offense
Interim offensive coordinator,interim offensive coordinator,Coordinator,Offensive Coordinator,,,Offense
Interim offensive coordinator and Offensive Line,interim offensive coordinator and offensive line,Coordinator,Offensive Coordinator,,,Offense
Interim Offensive coordinator and Tight Ends,interim offensive coordinator and tight ends,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator,offensive coordinator,Coordinator,Offensive Coordinator,,,Offense
Offensive Coordinator,offensive coordinator,Coordinator,Offensive Coordinator,,,Offense
Offensive Coordinator (through week 8),offensive coordinator (through week 8),Coordinator,Offensive Coordinator,,,Offense
Offensive Coordinator (weeks 9–17)/tight ends,offensive coordinator (weeks 9-17)/tight ends,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator / offensive line,offensive coordinator / offensive line,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator / quarterbacks,offensive coordinator / quarterbacks,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator/offensive assistant,offensive coordinator/offensive assistant,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator/offensive line,offensive coordinator/offensive line,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator/Offensive Line,offensive coordinator/offensive line,Coordinator,Offensive Coordinator,,,Offense
Offensive Coordinator/Offensive Line,offensive coordinator/offensive line,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator/quarterbacks,offensive coordinator/quarterbacks,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator/Quarterbacks,offensive coordinator/quarterbacks,Coordinator,Offensive Coordinator,,,Offense
Offensive Coordinator/Quarterbacks,offensive coordinator/quarterbacks,Coordinator,Offensive Coordinator,,,Offense
Offensive Coordinator/Quarterbacks/Receivers,offensive coordinator/quarterbacks/receivers,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator/Quarterbacks/Wide Receivers,offensive coordinator/quarterbacks/wide receivers,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator/receivers,offensive coordinator/receivers,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator/receivers coach,offensive coordinator/receivers coach,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator/running backs,offensive coordinator/running backs,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator/Running Backs,offensive coordinator/running backs,Coordinator,Offensive Coordinator,,,Offense
Offensive Coordinator/Tight Ends,offensive coordinator/tight ends,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator/tight ends,offensive coordinator/tight ends,Coordinator,Offensive Coordinator,,,Offense
Offensive Coordinator/Wide Receivers,offensive coordinator/wide receivers,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator/wide receivers,offensive coordinator/wide receivers,Coordinator,Offensive Coordinator,,,Offense
Offensive coordinator/wide receivers and quarterbacks,offensive coordinator/wide receivers and quarterbacks,Coordinator,Offensive Coordinator,,,Offense
Senior offensive coordinator,senior offensive coordinator,Coordinator,Offensive Coordinator,,,Offense
Special assistant to the head coach/offensive coordinator,special assistant to the head coach/offensive coordinator,Coordinator,Offensive Coordinator,,,Offense
Assistant head coach/offensive pass game coordinator,assistant head coach/offensive pass game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Assistant head coach/offensive passing game coordinator/wide receivers,assistant head coach/offensive passing game coordinator/wide receivers,Coordinator,Offensive Passing Game Coordinator,,,Offense
Assistant head coach/pass game coordinator,assistant head coach/pass game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Assistant head coach/passing coordinator/wide receivers,assistant head coach/passing coordinator/wide receivers,Coordinator,Offensive Passing Game Coordinator,,,Offense
Associate head coach/passing game coordinator,assistant head coach/passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Assistant head coach/passing game coordinator,assistant head coach/passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Assistant head coach/passing game coordinator/wide receivers,assistant head coach/passing game coordinator/wide receivers,Coordinator,Offensive Passing Game Coordinator,,,Offense
Co–pass game coordinator,co-pass game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Co–pass game coordinator/quarterbacks,co-pass game coordinator/quarterbacks,Coordinator,Offensive Passing Game Coordinator,,,Offense
Cornerbacks/passing game coordinator,cornerbacks/passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Offensive pass game coordinator/quarterbacks,offensive pass game coordinator/quarterbacks,Coordinator,Offensive Passing Game Coordinator,,,Offense
Offensive passing game coordinator,offensive passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Offensive passing game coordinator/wide receivers,offensive passing game coordinator/wide receivers,Coordinator,Offensive Passing Game Coordinator,,,Offense
Pass game coordinator,pass game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Pass game coordinator/quarterbacks,pass game coordinator/quarterbacks,Coordinator,Offensive Passing Game Coordinator,,,Offense
Pass game coordinator/tight ends,pass game coordinator/tight ends,Coordinator,Offensive Passing Game Coordinator,,,Offense
Pass game coordinator/wide receivers,pass game coordinator/wide receivers,Coordinator,Offensive Passing Game Coordinator,,,Offense
Passing game coordinator,passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Passing Game Coordinator,passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Passing game coordinator/cornerbacks,passing game coordinator/cornerbacks,Coordinator,Offensive Passing Game Coordinator,,,Offense
Passing game coordinator/quarterbacks,passing game coordinator/quarterbacks,Coordinator,Offensive Passing Game Coordinator,,,Offense
Passing game coordinator/tight ends,passing game coordinator/tight ends,Coordinator,Offensive Passing Game Coordinator,,,Offense
Passing game coordinator/wide receivers,passing game coordinator/wide receivers,Coordinator,Offensive Passing Game Coordinator,,,Offense
Passing Game Coordinator/Wide Receivers,passing game coordinator/wide receivers,Coordinator,Offensive Passing Game Coordinator,,,Offense
Quarterbacks & passing game coordinator,quarterbacks & passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Quarterbacks/pass game coordinator,quarterbacks/pass game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Quarterbacks/Passing Game Coordinator,quarterbacks/passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Quarterbacks/passing game coordinator,quarterbacks/passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Senior assistant/pass game coordinator,senior assistant/pass game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Senior passing game coordinator,senior passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Tight ends/pass game coordinator,tight ends/pass game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Tight ends/passing game coordinator,tight ends/passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Wide receivers/offensive passing game coordinator,wide receivers/offensive passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Wide receivers/pass game coordinator,wide receivers/pass game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Wide receivers/passing game coordinator,wide receivers/passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,,Offense
Assistant head coach/run game coordinator,assistant head coach/run game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Assistant head coach/Run game coordinator,assistant head coach/run game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Assistant head coach/run game coordinator/offensive line,assistant head coach/run game coordinator/offensive line,Coordinator,Offensive Run Game Coordinator,,,Offense
Associate head coach/running game coordinator,assistant head coach/running game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Assistant run game coordinator/assistant running backs,assistant run game coordinator/assistant running backs,Coordinator,Offensive Run Game Coordinator,,,Offense
Offensive Backfield/Running Game Coordinator,offensive backfield/running game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Offensive backfield/running game coordinator,offensive backfield/running game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Offensive line/offensive run game coordinator,offensive line/offensive run game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Offensive Line/run game coordinator,offensive line/run game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Offensive line/run game coordinator,offensive line/run game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Offensive line/running game coordinator,offensive line/running game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Offensive run game coordinator/assistant head coach,offensive run game coordinator/assistant head coach,Coordinator,Offensive Run Game Coordinator,,,Offense
Run coordinator/running backs,run coordinator/running backs,Coordinator,Offensive Run Game Coordinator,,,Offense
Run game coordinator,run game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Run Game Coordinator,run game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Run game coordinator/offensive line,run game coordinator/offensive line,Coordinator,Offensive Run Game Coordinator,,,Offense
Run game coordinator/running backs,run game coordinator/running backs,Coordinator,Offensive Run Game Coordinator,,,Offense
Run game coordinator/senior offensive advisor,run game coordinator/senior offensive advisor,Coordinator,Offensive Run Game Coordinator,,,Offense
Run game coordinator/tight ends,run game coordinator/tight ends,Coordinator,Offensive Run Game Coordinator,,,Offense
Running backs/run game coordinator,running backs/run game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Running backs/running game coordinator,running backs/running game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Running Game Coordinator,running game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Running game coordinator,running game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Running game coordinator/running backs,running game coordinator/running backs,Coordinator,Offensive Run Game Coordinator,,,Offense
Tight ends/h–backs/running game coordinator,tight ends/h-backs/running game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Tight ends/run game coordinator,tight ends/run game coordinator,Coordinator,Offensive Run Game Coordinator,,,Offense
Associate head coach/special teams coordinator,assistant head coach/special teams coordinator,Coordinator,Special Teams Coordinator,,,Special Teams
Assistant head coach/special teams coordinator,assistant head coach/special teams coordinator,Coordinator,Special Teams Coordinator,,,Special Teams
Assistant head coach/Special teams coordinator,assistant head coach/special teams coordinator,Coordinator,Special Teams Coordinator,,,Special Teams
Assistant head coach/special teams  coordinator,assistant head coach/special teams coordinator,Coordinator,Special Teams Coordinator,,,Special Teams
Associate head coach/special teams coordinator/running backs,assistant head coach/special teams coordinator/running backs,Coordinator,Special Teams Coordinator,,,Special Teams
Assistant head coach/tight ends/special teams coordinator,assistant head coach/tight ends/special teams coordinator,Coordinator,Special Teams Coordinator,,,Special Teams
Assistant special teams coordinator,assistant special teams coordinator,Coordinator,Special Teams Coordinator,,,Special Teams
Assistant special teams Coordinator,assistant special teams coordinator,Coordinator,Special Teams Coordinator,,,Special Teams
Assistant special teams coordinator/assistant strength and conditioning,assistant special teams coordinator/assistant strength and conditioning,Coordinator,Special Teams Coordinator,,,Special Teams
Assistant/acting head coach and Special teams coordinator,assistant/acting head coach and special teams coordinator,Coordinator,Special Teams Coordinator,,,Special Teams
Interim head coach/special teams coordinator,interim head coach/special teams coordinator,Coordinator,Special Teams Coordinator,,,Special Teams
Interim special teams coordinator,interim special teams coordinator,Coordinator,Special Teams Coordinator,,,Special Teams
Interim Special teams coordinator,interim special teams coordinator,Coordinator,Special Teams Coordinator,,,Special Teams
Special teams coordinator,special teams coordinator,Coordinator,Special Teams Coordinator,,,Special Teams
Special Teams Coordinator,special teams coordinator,Coordinator,Special Teams Coordinator,,,Special Teams
Special teams Coordinator,special teams coordinator,Coordinator,Special Teams Coordinator,,,Special Teams
Special Teams coordinator,special teams coordinator,Coordinator,Special Teams Coordinator,,,Special Teams
Special teams coordinator/Assistant head coach,special teams coordinator/assistant head coach,Coordinator,Special Teams Coordinator,,,Special Teams
Special teams coordinator/assistant head coach,special teams coordinator/assistant head coach,Coordinator,Special Teams Coordinator,,,Special Teams
Special teams coordinator/defensive backs,special teams coordinator/defensive backs,Coordinator,Special Teams Coordinator,,,Special Teams
Special teams coordinator/tight ends,special teams coordinator/tight ends,Coordinator,Special Teams Coordinator,,,Special Teams
Special teams coordinator/wide receivers,special teams coordinator/wide receivers,Coordinator,Special Teams Coordinator,,,Special Teams
Assistant general manager,assistant general manager,General Manager,Assistant GM,,,Both
Assistant General Manager,assistant general manager,General Manager,Assistant GM,,,Both
Assistant general manager of football operations,assistant general manager of football operations,General Manager,Assistant GM,,,Both
"Assistant general manager, strategy","assistant general manager, strategy",General Manager,Assistant GM,,,Both
Assistant general manager/director of player personnel,assistant general manager/director of player personnel,General Manager,Assistant GM,,,Both
Assistant general manager/Director of Pro Personnel,assistant general manager/director of pro personnel,General Manager,Assistant GM,,,Both
Assistant general manager/director of pro personnel,assistant general manager/director of pro personnel,General Manager,Assistant GM,,,Both
Assistant General Manager/Legal Counsel,assistant general manager/legal counsel,General Manager,Assistant GM,,,Both
Assistant general manager/vice president of football operations,assistant general manager/vice president of football operations,General Manager,Assistant GM,,,Both
Assistant general manager/vice president of player personnel,assistant general manager/vice president of player personnel,General Manager,Assistant GM,,,Both
Assistant GM,assistant gm,General Manager,Assistant GM,,,Both
Chief personnel executive,chief personnel executive,General Manager,Assistant GM,,,Both
Executive vice–president/assistant general manager,executive vice-president/assistant general manager,General Manager,Assistant GM,,,Both
Senior VP of football operations/assistant general manager,senior vp of football operations/assistant general manager,General Manager,Assistant GM,,,Both
Senior VP/assistant general manager,senior vp/assistant general manager,General Manager,Assistant GM,,,Both
Vice president of football operations/assistant general manager,vice president of football operations/assistant general manager,General Manager,Assistant GM,,,Both
Vice president of player personnel/assistant general manager,vice president of player personnel/assistant general manager,General Manager,Assistant GM,,,Both
Vice president/assistant general manager,vice president/assistant general manager,General Manager,Assistant GM,,,Both
Vice–president of football operations/Assistant General Manager,vice-president of football operations/assistant general manager,General Manager,Assistant GM,,,Both
Vice–president of football operations/assistant general manager,vice-president of football operations/assistant general manager,General Manager,Assistant GM,,,Both
VP/assistant general manager,vp/assistant general manager,General Manager,Assistant GM,,,Both
Assistant to the general manager,assistant to the general manager,General Manager,Assistant to GM,,,Both
Personnel analyst to general manager,personnel analyst to general manager,General Manager,Assistant to GM,,,Both
Senior assistant to general manager,senior assistant to general manager,General Manager,Assistant to GM,,,Both
Senior assistant to general manager / player personnel coordinator,senior assistant to general manager / player personnel coordinator,General Manager,Assistant to GM,,,Both
Special assistant to the general manager,special assistant to the general manager,General Manager,Assistant to GM,,,Both
Special Assistant to the General Manager,special assistant to the general manager,General Manager,Assistant to GM,,,Both
Executive director of football staff,executive director of football staff,General Manager,Executive Director - Football Staff,,,Both
Chief administrative officer and general counsel,chief administrative officer and general counsel,General Manager,General Counsel,,,Both
"Chief Sales and Marketing Officer, Vice President, and General Counsel","chief sales and marketing officer, vice president, and general counsel",General Manager,General Counsel,,,Both
Director of salary cap/general counsel,director of salary cap/general counsel,General Manager,General Counsel,,,Both
Executive vice president and general counsel,executive vice president and general counsel,General Manager,General Counsel,,,Both
Executive vice president/general counsel,executive vice president/general counsel,General Manager,General Counsel,,,Both
General counsel,general counsel,General Manager,General Counsel,,,Both
General Counsel,general counsel,General Manager,General Counsel,,,Both
General counsel/director of salary cap,general counsel/director of salary cap,General Manager,General Counsel,,,Both
Senior director of football administration/general counsel,senior director of football administration/general counsel,General Manager,General Counsel,,,Both
Senior executive vice president/general counsel,senior executive vice president/general counsel,General Manager,General Counsel,,,Both
Senior vice president of football operations/general counsel,senior vice president of football operations/general counsel,General Manager,General Counsel,,,Both
Senior vice president/general counsel,senior vice president/general counsel,General Manager,General Counsel,,,Both
Senior vice president/General counsel,senior vice president/general counsel,General Manager,General Counsel,,,Both
Vice president & general counsel,vice president & general counsel,General Manager,General Counsel,,,Both
Vice president and general counsel,vice president and general counsel,General Manager,General Counsel,,,Both
Vice President of football administration/General Counsel,vice president of football administration/general counsel,General Manager,General Counsel,,,Both
Vice president of football administration/general counsel,vice president of football administration/general counsel,General Manager,General Counsel,,,Both
Vice president of Player Finance/General Counsel,vice president of player finance/general counsel,General Manager,General Counsel,,,Both
Vice president of player finance/general counsel,vice president of player finance/general counsel,General Manager,General Counsel,,,Both
Vice President/General Counsel,vice president/general counsel,General Manager,General Counsel,,,Both
Vice president/general counsel,vice president/general counsel,General Manager,General Counsel,,,Both
Vice–president & General Counsel,vice-president & general counsel,General Manager,General Counsel,,,Both
Vice–president & general counsel,vice-president & general counsel,General Manager,General Counsel,,,Both
Corporate General Manager,corporate general manager,General Manager,General Manager,,,Both
Director of football operations/general manager,director of football operations/general manager,General Manager,General Manager,,,Both
EVP of football operations/General manager,evp of football operations/general manager,General Manager,General Manager,,,Both
Executive vice president & general manager,executive vice president & general manager,General Manager,General Manager,,,Both
Executive vice president / general manager,executive vice president / general manager,General Manager,General Manager,,,Both
Executive Vice President and General Manager,executive vice president and general manager,General Manager,General Manager,,,Both
Executive vice president and general manager,executive vice president and general manager,General Manager,General Manager,,,Both
Executive vice president of administration/general manager,executive vice president of administration/general manager,General Manager,General Manager,,,Both
Executive vice president of football operations/assistant general manager,executive vice president of football operations/assistant general manager,General Manager,General Manager,,,Both
Executive Vice President of Football Operations/General Manager,executive vice president of football operations/general manager,General Manager,General Manager,,,Both
Executive vice president of football operations/general manager,executive vice president of football operations/general manager,General Manager,General Manager,,,Both
"Executive vice president, general manager and director of football operations","executive vice president, general manager and director of football operations",General Manager,General Manager,,,Both
Executive vice president/assistant general manager,executive vice president/assistant general manager,General Manager,General Manager,,,Both
Executive Vice President/Assistant General Manager,executive vice president/assistant general manager,General Manager,General Manager,,,Both
Executive vice president/general manager,executive vice president/general manager,General Manager,General Manager,,,Both
Executive Vice President/general manager,executive vice president/general manager,General Manager,General Manager,,,Both
Executive Vice President/General Manager,executive vice president/general manager,General Manager,General Manager,,,Both
Executive vice president/general manager/director of football operations,executive vice president/general manager/director of football operations,General Manager,General Manager,,,Both
Executive vice–president and general manager,executive vice-president and general manager,General Manager,General Manager,,,Both
Executive vice–president/general manager,executive vice-president/general manager,General Manager,General Manager,,,Both
Executive VP/general manager/director of football operations,executive vp/general manager/director of football operations,General Manager,General Manager,,,Both
General Manager,general manager,General Manager,General Manager,,,Both
General manager,general manager,General Manager,General Manager,,,Both
general manager,general manager,General Manager,General Manager,,,Both
General manager / Executive VP of Football Operations:,general manager / executive vp of football operations:,General Manager,General Manager,,,Both
General manager of football operations,general manager of football operations,General Manager,General Manager,,,Both
General manager/EVP of football operations,general manager/evp of football operations,General Manager,General Manager,,,Both
general manager/Executive Vice President,general manager/executive vice president,General Manager,General Manager,,,Both
General manager/executive vice president,general manager/executive vice president,General Manager,General Manager,,,Both
General manager/Executive Vice President,general manager/executive vice president,General Manager,General Manager,,,Both
General manager/president,general manager/president,General Manager,General Manager,,,Both
General manager/President of football operations,general manager/president of football operations,General Manager,General Manager,,,Both
General manager/senior vice president of player personnel,general manager/senior vice president of player personnel,General Manager,General Manager,,,Both
General manager/vice–president of football operations,general manager/vice-president of football operations,General Manager,General Manager,,,Both
Interim general manager,interim general manager,General Manager,General Manager,,,Both
Owner / General Manager,owner / general manager,General Manager,General Manager,,,Both
"Owner, President and General Manager","owner, president and general manager",General Manager,General Manager,,,Both
Owner/general manager,owner/general manager,General Manager,General Manager,,,Both
Owner/General Manager,owner/general manager,General Manager,General Manager,,,Both
Owner/president/general manager,owner/president/general manager,General Manager,General Manager,,,Both
President and general manager,president and general manager,General Manager,General Manager,,,Both
President of football operations/general manager,president of football operations/general manager,General Manager,General Manager,,,Both
President of Football Operations/general manager,president of football operations/general manager,General Manager,General Manager,,,Both
President of the General Partner / General Manager,president of the general partner / general manager,General Manager,General Manager,,,Both
President of the General Partner / General manager,president of the general partner / general manager,General Manager,General Manager,,,Both
President/general manager,president/general manager,General Manager,General Manager,,,Both
President/General Manager,president/general manager,General Manager,General Manager,,,Both
President/General manager,president/general manager,General Manager,General Manager,,,Both
President/General Manager/CEO,president/general manager/ceo,General Manager,General Manager,,,Both
President/general manager/chief executive officer,president/general manager/chief executive officer,General Manager,General Manager,,,Both
President/General Manager/Chief Executive Officer,president/general manager/chief executive officer,General Manager,General Manager,,,Both
President/general manager/Chief Executive Officer,president/general manager/chief executive officer,General Manager,General Manager,,,Both
President/general manager/Chief Operating Officer,president/general manager/chief operating officer,General Manager,General Manager,,,Both
President/general manager/chief operating officer,president/general manager/chief operating officer,General Manager,General Manager,,,Both
Principal Owner/General Manager,principal owner/general manager,General Manager,General Manager,,,Both
Principal owner/general manager,principal owner/general manager,General Manager,General Manager,,,Both
Principal owner/president/general manager,principal owner/president/general manager,General Manager,General Manager,,,Both
Senior advisor to general manager,senior advisor to general manager,General Manager,General Manager,,,Both
Senior advisor to the general manager,senior advisor to the general manager,General Manager,General Manager,,,Both
Senior advisor to the general manager/chief security officer,senior advisor to the general manager/chief security officer,General Manager,General Manager,,,Both
Senior advisor to the General Manager/Chief Security Officer,senior advisor to the general manager/chief security officer,General Manager,General Manager,,,Both
Senior Advisor to the General Manager/Personnel Strategist,senior advisor to the general manager/personnel strategist,General Manager,General Manager,,,Both
Senior executive vice president/general manager/coo,senior executive vice president/general manager/coo,General Manager,General Manager,,,Both
Senior personnel director/advisor to the general manager,senior personnel director/advisor to the general manager,General Manager,General Manager,,,Both
Senior vice president & general manager,senior vice president & general manager,General Manager,General Manager,,,Both
Senior vice president and assistant general manager,senior vice president and assistant general manager,General Manager,General Manager,,,Both
Senior vice president and General manager,senior vice president and general manager,General Manager,General Manager,,,Both
Senior vice president and general manager,senior vice president and general manager,General Manager,General Manager,,,Both
Senior vice president/general manager,senior vice president/general manager,General Manager,General Manager,,,Both
Vice president & general manager,vice president & general manager,General Manager,General Manager,,,Both
Vice president and general manager,vice president and general manager,General Manager,General Manager,,,Both
Vice President and General Manager,vice president and general manager,General Manager,General Manager,,,Both
Vice President and Senior Advisor to the general manager,vice president and senior advisor to the general manager,General Manager,General Manager,,,Both
Vice president and senior advisor to the general manager,vice president and senior advisor to the general manager,General Manager,General Manager,,,Both
Vice President of Administration/general manager,vice president of administration/general manager,General Manager,General Manager,,,Both
Vice president of administration/general manager,vice president of administration/general manager,General Manager,General Manager,,,Both
Vice President of Administration/General Manager,vice president of administration/general manager,General Manager,General Manager,,,Both
Vice president/general manager,vice president/general manager,General Manager,General Manager,,,Both
Vice President/General Manager,vice president/general manager,General Manager,General Manager,,,Both
Vice–president and general manager,vice-president and general manager,General Manager,General Manager,,,Both
Vice–president and General Manager,vice-president and general manager,General Manager,General Manager,,,Both
Vice–president of administration/general manager,vice-president of administration/general manager,General Manager,General Manager,,,Both
Vice–president of administration/General Manager,vice-president of administration/general manager,General Manager,General Manager,,,Both
Asst. general manager & vice president of football administration,assistant. general manager & vice president of football administration,General Manager,VP Football Operations,,,Both
Asst. general manager & vice president of football operations,assistant. general manager & vice president of football operations,General Manager,VP Football Operations,,,Both
Chief strategy officer/Executive Vice President of Football Operations,chief strategy officer/executive vice president of football operations,General Manager,VP Football Operations,,,Both
Co–vice president of player personnel,co-vice president of player personnel,General Manager,VP Football Operations,,,Both
"COO, Director of Player Personnel, and Executive Vice President","coo, director of player personnel, and executive vice president",General Manager,VP Football Operations,,,Both
COO/executive vice president of football operations,coo/executive vice president of football operations,General Manager,VP Football Operations,,,Both
COO/Executive vice president of football operations,coo/executive vice president of football operations,General Manager,VP Football Operations,,,Both
COO/executive vice president/director of player personnel,coo/executive vice president/director of player personnel,General Manager,VP Football Operations,,,Both
COO/Executive vice president/director of player personnel,coo/executive vice president/director of player personnel,General Manager,VP Football Operations,,,Both
Executive vice president of football administration,executive vice president of football administration,General Manager,VP Football Operations,,,Both
Executive vice president of football administration/player finance,executive vice president of football administration/player finance,General Manager,VP Football Operations,,,Both
Executive Vice President of Football Operations,executive vice president of football operations,General Manager,VP Football Operations,,,Both
Executive Vice President of football operations,executive vice president of football operations,General Manager,VP Football Operations,,,Both
Executive vice president of football operations,executive vice president of football operations,General Manager,VP Football Operations,,,Both
Executive vice president of football operations/COO,executive vice president of football operations/coo,General Manager,VP Football Operations,,,Both
Executive vice president of football operations/coo,executive vice president of football operations/coo,General Manager,VP Football Operations,,,Both
Executive vice president of football/player personnel,executive vice president of football/player personnel,General Manager,VP Football Operations,,,Both
Executive vice president of player personnel,executive vice president of player personnel,General Manager,VP Football Operations,,,Both
Executive vice president/director of football operations,executive vice president/director of football operations,General Manager,VP Football Operations,,,Both
Executive vice president/player personnel,executive vice president/player personnel,General Manager,VP Football Operations,,,Both
President of 49ers enterprises and EVP of football operations,president of 49ers enterprises and evp of football operations,General Manager,VP Football Operations,,,Both
President of 49ers Enterprises and EVP of Football Operations,president of 49ers enterprises and evp of football operations,General Manager,VP Football Operations,,,Both
President of 49ers Enterprises and EVP of football operations,president of 49ers enterprises and evp of football operations,General Manager,VP Football Operations,,,Both
Senior vice president of football administration,senior vice president of football administration,General Manager,VP Football Operations,,,Both
Senior Vice President of Football Administration,senior vice president of football administration,General Manager,VP Football Operations,,,Both
Senior vice president of football administration & technology,senior vice president of football administration & technology,General Manager,VP Football Operations,,,Both
Senior vice president of football administration/legal affairs,senior vice president of football administration/legal affairs,General Manager,VP Football Operations,,,Both
Senior vice president of football administration/legal counsel,senior vice president of football administration/legal counsel,General Manager,VP Football Operations,,,Both
Senior vice president of football administration/player finance,senior vice president of football administration/player finance,General Manager,VP Football Operations,,,Both
Senior vice president of football operations,senior vice president of football operations,General Manager,VP Football Operations,,,Both
Senior vice president of football operations & strategy,senior vice president of football operations & strategy,General Manager,VP Football Operations,,,Both
Senior vice president of football operations and strategy,senior vice president of football operations and strategy,General Manager,VP Football Operations,,,Both
Senior vice president of football operations/player personnel,senior vice president of football operations/player personnel,General Manager,VP Football Operations,,,Both
Senior vice president of player personnel,senior vice president of player personnel,General Manager,VP Football Operations,,,Both
Senior vice president/director of football administration,senior vice president/director of football administration,General Manager,VP Football Operations,,,Both
Senior VP of football administration,senior vp of football administration,General Manager,VP Football Operations,,,Both
Vice President and Director of Football Operations,vice president and director of football operations,General Manager,VP Football Operations,,,Both
Vice president for player personnel,vice president for player personnel,General Manager,VP Football Operations,,,Both
Vice president of development/football administration,vice president of development/football administration,General Manager,VP Football Operations,,,Both
Vice president of football administration,vice president of football administration,General Manager,VP Football Operations,,,Both
Vice President of Football Administration,vice president of football administration,General Manager,VP Football Operations,,,Both
Vice president of football administration/player finance,vice president of football administration/player finance,General Manager,VP Football Operations,,,Both
Vice president of football operation and compliance,vice president of football operation and compliance,General Manager,VP Football Operations,,,Both
Vice President of Football Operations,vice president of football operations,General Manager,VP Football Operations,,,Both
Vice president of football operations,vice president of football operations,General Manager,VP Football Operations,,,Both
Vice president of football operations & compliance,vice president of football operations & compliance,General Manager,VP Football Operations,,,Both
Vice president of football operations & facilities,vice president of football operations & facilities,General Manager,VP Football Operations,,,Both
Vice president of football operations & senior advisor to ownership,vice president of football operations & senior advisor to ownership,General Manager,VP Football Operations,,,Both
